IATA,Name,City,Country
PAE,Snohomish County (Paine Field) Airport,Everett,United States
SXQ,Soldotna Airport,Soldotna,United States
ELD,South Arkansas Regional At Goodwin Field,El Dorado,United States
BRL,Southeast Iowa Regional Airport,Burlington,United States
BPT,Southeast Texas Regional Airport,Beaumont/Port Arthur,United States
MDH,Southern Illinois Airport,Carbondale/Murphysboro,United States
ABY,Southwest Georgia Regional Airport,Albany,United States
OTH,Southwest Oregon Regional Airport,North Bend,United States
KLS,Southwest Washington Regional Airport,Kelso,United States
RKS,Southwest Wyoming Regional Airport,Rock Springs,United States
TIX,Space Coast Regional Airport,Titusville,United States
SVW,Sparrevohn LRRS Airport,Sparrevohn,United States
SGH,Springfield-Beckley Municipal Airport,Springfield,United States
STC,St Cloud Regional Airport,St Cloud,United States
STG,St George Airport,St George,United States
SGU,St George Municipal Airport,St George,United States
ALN,St Louis Regional Airport,Alton/St Louis,United States
FPR,St Lucie County International Airport,Fort Pierce,United States
KSM,St Mary's Airport,St Mary's,United States
STP,St Paul Downtown Holman Field,St Paul,United States
SNP,St Paul Island Airport,St Paul Island,United States
PIE,St Petersburg Clearwater International Airport,St Petersburg-Clearwater,United States
SWF,Stewart International Airport,Newburgh,United States
SWO,Stillwater Regional Airport,Stillwater,United States
SSF,Stinson Municipal Airport,San Antonio,United States
SCK,Stockton Metropolitan Airport,Stockton,United States
SGR,Sugar Land Regional Airport,Houston,United States
TIW,Tacoma Narrows Airport,Tacoma,United States
TKA,Talkeetna Airport,Talkeetna,United States
TLJ,Tatalina LRRS Airport,Takotna,United States
HUF,"Terre Haute Regional Airport, Hulman Field",Terre Haute,United States
TEB,Teterboro Airport,Teterboro,United States
TXK,Texarkana Regional Webb Field,Texarkana,United States
LJN,Texas Gulf Coast Regional Airport,Angleton/Lake Jackson,United States
MTH,The Florida Keys Marathon Airport,Marathon,United States
OSU,The Ohio State University Airport - Don Scott Field,Columbus,United States
FME,Tipton Airport,Fort Meade(Odenton),United States
TOG,Togiak Airport,Togiak Village,United States
TPH,Tonopah Airport,Tonopah,United States
FOE,Topeka Regional Airport - Forbes Field,Topeka,United States
TTN,Trenton Mercer Airport,Trenton,United States
PSC,Tri Cities Airport,Pasco,United States
TOI,Troy Municipal Airport at N Kenneth Campbell Field,Troy,United States
TKF,Truckee Tahoe Airport,Truckee,United States
TCS,Truth Or Consequences Municipal Airport,Truth Or Consequences,United States
TCC,Tucumcari Municipal Airport,Tucumcari,United States
TUP,Tupelo Regional Airport,Tupelo,United States
TCL,Tuscaloosa Regional Airport,Tuscaloosa,United States
HVN,Tweed New Haven Airport,New Haven,United States
TYR,Tyler Pounds Regional Airport,Tyler,United States
UKI,Ukiah Municipal Airport,Ukiah,United States
DUT,Unalaska Airport,Unalaska,United States
CMI,University of Illinois Willard Airport,Champaign/Urbana,United States
UOX,University Oxford Airport,Oxford,United States
SCE,University Park Airport,State College,United States
UPP,Upolu Airport,Hawi,United States
VDZ,Valdez Pioneer Field,Valdez,United States
VLD,Valdosta Regional Airport,Valdosta,United States
HRL,Valley International Airport,Harlingen,United States
VNY,Van Nuys Airport,Van Nuys,United States
FKL,Venango Regional Airport,Franklin,United States
VEL,Vernal Regional Airport,Vernal,United States
VRB,Vero Beach Regional Airport,Vero Beach,United States
VCT,Victoria Regional Airport,Victoria,United States
VOK,Volk Field,Camp Douglas,United States
BTL,W K Kellogg Airport,Battle Creek,United States
ACT,Waco Regional Airport,Waco,United States
MUE,Waimea Kohala Airport,Kamuela,United States
AIN,Wainwright Airport,Wainwright,United States
ALW,Walla Walla Regional Airport,Walla Walla,United States
PAQ,"Warren ""Bud"" Woods Palmer Municipal Airport",Palmer,United States
WWA,Wasilla Airport,Wasilla,United States
ALO,Waterloo Regional Airport,Waterloo,United States
ART,Watertown International Airport,Watertown,United States
ATY,Watertown Regional Airport,Watertown,United States
AUW,Wausau Downtown Airport,Wausau,United States
TBN,Waynesville-St. Robert Regional Forney field,Fort Leonard Wood,United States
ENV,Wendover Airport,Wendover,United States
WWR,West Woodward Airport,Woodward,United States
HPN,Westchester County Airport,White Plains,United States
BFF,Western Neb. Rgnl/William B. Heilig Airport,Scottsbluff,United States
BAF,Westfield-Barnes Regional Airport,Westfield/Springfield,United States
CEF,Westover ARB/Metropolitan Airport,Springfield/Chicopee,United States
HHI,Wheeler Army Airfield,Wahiawa,United States
HLG,Wheeling Ohio County Airport,Wheeling,United States
NUW,Whidbey Island Naval Air Station (Ault Field),Oak Harbor,United States
NSE,Whiting Field Naval Air Station - North,Milton,United States
BRW,Wiley Post Will Rogers Memorial Airport,Utqiaġvik,United States
AVP,Wilkes Barre Scranton International Airport,Wilkes-Barre/Scranton,United States
CLM,William R Fairchild International Airport,Port Angeles,United States
IPT,Williamsport Regional Airport,Williamsport,United States
YIP,Willow Run Airport,Detroit,United States
ILN,Wilmington Airpark,Wilmington,United States
ILM,Wilmington International Airport,Wilmington,United States
INK,Winkler County Airport,Wink,United States
WMC,Winnemucca Municipal Airport,Winnemucca,United States
INW,Winslow Lindbergh Regional Airport,Winslow,United States
OSH,Wittman Regional Airport,Oshkosh,United States
GGW,Wokal Field Glasgow International Airport,Glasgow,United States
ORH,Worcester Regional Airport,Worcester,United States
WRL,Worland Municipal Airport,Worland,United States
WRG,Wrangell Airport,Wrangell,United States
YKM,Yakima Air Terminal McAllister Field,Yakima,United States
YAK,Yakutat Airport,Yakutat,United States
WYS,Yellowstone Airport,West Yellowstone,United States
COD,Yellowstone Regional Airport,Cody,United States
YNG,Youngstown Warren Regional Airport,Youngstown/Warren,United States
MYV,Yuba County Airport,Marysville,United States
YUM,Yuma MCAS/Yuma International Airport,Yuma,United States
ZZV,Zanesville Municipal Airport,Zanesville,United States
